finding_id,title,category,severity,requirement,location,role,preconditions,steps_to_reproduce,expected_result,actual_result,status,evidence,impact,suggested_fix_direction
"QA-001","Protected CMS page loading is shadowed by the public slug route","CMS / Functional","High","REQ-074; REQ-075; REQ-076; REQ-080; REQ-082; REQ-138","GET /api/cms/pages/{page}; routes/api.php; CmsEditorPage","Power Admin","Verified Power Admin and an existing CMS page","1) List pages; 2) note numeric ID; 3) GET /api/cms/pages/1; 4) select page in UI","Protected controller returns editable page and sections","Earlier public slug route handles numeric ID and returns 404; editor cannot load","Reproducible","List 200; item 404; both /1 and /home resolve to PublicCmsController@show","Central CMS workflow is blocked","Separate or constrain public/protected routes and add route plus E2E tests"
"QA-002","Power Admin visual edit mode omits most required editing capabilities","CMS / Functional / UX","High","REQ-065 through REQ-073; REQ-077 through REQ-084","Public edit toggle; /staff/cms; CmsEditorPage","Power Admin","Verified Power Admin","1) Activate Edit site; 2) try inline selection; 3) open CMS; 4) inspect editing controls","Complete inline rich-text/media/button/menu/page/section/lifecycle/version editing","Toggle only opens links; editor has limited page/section heading-text operations","Reproducible","App.tsx and CmsEditorPage source plus runtime edit toggle","Principal visual CMS requirement is substantially absent","Implement the complete safe component/editor schema and end-to-end workflows"
"QA-003","Published navigation and theme settings do not affect the public site","CMS / Functional","Medium","REQ-079; REQ-085","CMS settings APIs; App.tsx Layout; app.css","Power Admin / Public","Published navigation or theme setting","1) Inspect settings APIs; 2) inspect Layout/CSS; 3) load public page; 4) compare stored value","Published settings drive public navigation/theme","Layout and colors are hard-coded and public-settings is never fetched","Reproducible","routes/api.php; App.tsx lines 31-36; app.css tokens","Settings can appear published without changing the site","Connect validated published settings to renderer and add guarded management/tests"
"QA-004","Booking API accepts unavailable times and unsupported consultation methods","Functional / Data","High","REQ-036; REQ-041; REQ-094","POST /api/appointment-requests; AppointmentRequestController","Public / Patient","Isolated database with normal rules and service online_available=false","1) POST Saturday 03:00; 2) observe 201; 3) POST Breast Surgery online; 4) observe 201","Submission must match a generated slot and service/method rules","Both invalid requests were accepted","Reproducible","201 refs 9146817e-7939-4c79-8f00-08bbd708e3ce and 92266074-a6d1-41f7-a9fb-6c74d38a37e1","Unavailable or unsupported appointments can be created","Validate through one server-side availability decision at submission"
"QA-005","Potential data-integrity finding: appointment overlap prevention is not concurrency-safe","Data / Functional","High","REQ-044","AppointmentRequestController; AvailabilityService; schema","Public / Patient","Two simultaneous same-slot requests","1) Review transaction; 2) observe exists check; 3) observe unlocked insert; 4) analyze concurrent interleaving","Only one overlapping request can commit","Check-then-insert has a race window and no lock or database interval constraint; no simultaneous exploit was run","Unable to Reproduce","Controller lines 31-36; service lines 47-49; schema; no load exploit attempted","Concurrent requests could double-book despite green sequential tests","Serialize scheduling or enforce database overlap invariant; test on PostgreSQL"
"QA-006","Configured slot length is ignored during availability generation","Functional / Data","Medium","REQ-055; REQ-092","AvailabilityService::slots","Moderator / Admin / Power Admin","Rule slot_minutes differs from duration plus buffer","1) Configure slot_minutes; 2) select differing service; 3) request slots; 4) compare starts","Configured fields have defined scheduling behavior","Step uses duration + buffer; slot_minutes is unused","Reproducible","AvailabilityService line 28; seeded slot_minutes=45","Staff configuration can yield unexpected schedules","Define slot_minutes semantics and implement or remove/rename it"
"QA-007","Declined cancellation requests cannot be resubmitted and display the wrong state","Functional / UX / Data","Medium","REQ-047; REQ-050","Cancellation API; PortalPage Appointments","Patient / Moderator / Admin","Eligible appointment with declined cancellation","1) Request cancellation; 2) decline; 3) resubmit with new reason; 4) refresh","New pending request or clear rule; accurate declined state","Old declined row/reason returned 201; UI says Cancellation requested and hides action","Reproducible","Isolated request id 1 stayed declined; firstOrCreate; PortalPage condition","Patient cannot recover or understand current state","Model repeatable requests or reset declined state and render all decisions"
"QA-008","Rescheduling never records or displays the required Rescheduled state","Functional / Data","Medium","REQ-050; REQ-089","AppointmentWorkflowService::reschedule","Patient / Moderator / Admin","Pending or confirmed appointment","1) Reschedule; 2) retrieve; 3) compare required status; 4) inspect transitions","Moved appointment accurately represents Rescheduled","Method saves status Confirmed; defined Rescheduled status is terminal and unused","Reproducible","Workflow service lines 17-24 and 49-68","Reporting/filtering/audit semantics diverge from requirements","Define event vs durable state and align transitions/API/UI"
"QA-009","Operational calendar is a date-range list rather than the required full calendar","Functional / UI / Mobile","High","REQ-053; REQ-055; REQ-059; REQ-095 through REQ-099; REQ-137","/staff/calendar; StaffCalendarPage","Moderator / Admin / Power Admin","Authenticated staff","1) Open calendar; 2) switch views; 3) inspect agenda/grid/actions/filters; 4) inspect availability UI","Complete responsive day/week/month/agenda calendar with operations and filters","Range buttons change an event list; no agenda/grid/create/edit/drag/filter; recurring rules absent from UI","Reproducible","StaffCalendarPage source","Staff cannot perform promised schedule management","Implement accessible calendar operations/filters with server conflict validation"
"QA-010","Online consultation is a workflow shell with no live media provider","Functional / Privacy","High","REQ-013; REQ-057; REQ-102; REQ-103; REQ-143","Consultation services; UnconfiguredVideoProvider; web/native screens","Patient / Moderator / Admin","Online appointment and consultation","1) Check capabilities; 2) enter workflow; 3) check readiness/room; 4) identify provider","Related users complete a live authenticated consultation","State/signed shell exists but provider is unconfigured and live_video=false","Reproducible","Provider binding; capability response; MASTER_PLAN lines 176-190","Product cannot deliver online consultation","Approve/configure provider adapter and run privacy/access/media/device acceptance"
"QA-011","Unknown and Contact routes silently render the homepage","Functional / UX","Medium","REQ-008; REQ-015; REQ-017","React catch-all; /contact; arbitrary paths","Public","Public browser","1) Open /contact; 2) observe Home; 3) open invalid path; 4) observe Home/200","Contact page for /contact and helpful 404 for invalid path","Both paths render Home without error","Reproducible","IAB route sweep; App.tsx nested wildcard","Broken links are masked and soft 404s can be indexed","Add explicit Contact and dedicated 404 routes"
"QA-012","Required public professional, service, education and publication journeys are incomplete","Content / Functional / UX","Medium","REQ-003 through REQ-011; REQ-059; REQ-107; REQ-108","Public content routes and navigation","Public / Admin","Seeded local application","1) Browse all content routes; 2) seek career/achievements/contact; 3) inspect services/education/publications; 4) open details/DOI","Complete sourced navigable public journeys","Multiple areas missing; CMS Services hides cards; no education/publication detail, sort, pagination, DOI/source links","Reproducible","IAB route sweep and frontend source","Polished surface omits material information and credibility workflows","Complete verified models/routes and test list-filter-detail-link journeys"
"QA-013","Research publishing state can diverge from public publication state","Content / Data / CMS","High","REQ-009; REQ-011; REQ-105; REQ-110","VerificationQueueController; public/academic controllers; schema","Power Admin / Public","Published verified claim","1) Publish; 2) decide rejected; 3) inspect Publication; 4) compare filters","Controlled lifecycle retracts rejected info and all feeds agree","Code permits a published claim to be rejected without record retraction; filters disagree; nullable DOI upsert is unsafe","Unable to Reproduce","Controller/query/schema evidence; publish/reject mutation not run because the charter prohibits publishing content","Rejected/stale content could remain public and records can diverge","Use constrained transactional state machine with explicit retract and stable unique identity"
